id,url,host,title,subtotal,service tax,total,Size,Height,Storage Type,Access,Hours,location,summary,images
1,https://www.neighbor.com/listings/texas/texas-city/49909,Dhaval,Unpaved Lot in Texas City,$679,$37.87,$716.87,125'x50',None,Unpaved Lot,Daily,24/7,Texas City,"Its open residential lot opposite to school. Located in a safe single family community and close to 146, it's a great and secure lot for any vehicle! Let me know if you have any questions. 
Perfect for boat storage.","images/232362-74688.jpg,images/224924-02804.jpg,images/232361-75771.jpg,images/232363-33942.jpg,images/232364-58754.jpg,images/232365-99980.jpg"
2,https://www.neighbor.com/listings/texas/galveston/220336,Savannah,Attic in Galveston,$120,$15.60,$135.60,15'x15',None,Attic,Weekly,24/7,Galveston,"The attic is accessible through an opening in our hallway. There are no stairs, however we would move the items into the attic for you, if desired. I would highly recommend a plastic storage bin, so it's easier to stack.","images/819832-07220.png,images/819833-10004.png,images/819834-23136.png,images/819835-21326.png"
3,https://www.neighbor.com/listings/texas/texas-city/54572,Andrew,Driveway in Texas City,"$110 / mo
$55",$14.85 / mo,$124.85 / mo,40'x17',None,Driveway,Daily,24/7,Texas City,"Extended driveway with security cameras ready for your boat,RV, Jetski. Minutes away from the Texas City Dike and Moses Lake!",images/241380-94918.jpg
4,https://www.neighbor.com/listings/texas/texas-city/194425,Dequann,Parking Lot in Texas City,"$134 / mo
$67",$16.49 / mo,$150.49 / mo,21'x20',None,Parking Lot,Daily,24/7,Texas City,This parking space is perfect for any size car. There’s plenty of security and gated with passcode.,
5,https://www.neighbor.com/listings/texas/san-leon/159415,Ryan,Driveway in San Leon,$150,$17.44,$167.44,100'x50',None,Driveway,Daily,Daytime hours,San Leon,Open field. Can park anything large here. Over 2 acres.,"images/648486-11431.jpg,images/648487-81748.jpg,images/648488-23595.jpg,images/648489-05227.jpg"
6,https://www.neighbor.com/listings/texas/dickinson/122132,Timothy,Unpaved Lot in Dickinson,"$500 / mo
$250",$32.15 / mo,$532.15 / mo,165'x110',None,Unpaved Lot,Daily,24/7,Dickinson,"1/2 acre of yard in front of busy street good for selling or parking , close to local fire station for security concerns",images/570127-31856.jpeg
7,https://www.neighbor.com/listings/texas/la-marque/106390,Joseph,Shed in La Marque,$60,$10.50,$70.50,10'x10',None,Shed,Daily,Daytime hours,La Marque,Shed that we don't use at all. Can be locked and no pets or smoke.,images/541897-90794.jpeg
8,https://www.neighbor.com/listings/texas/la-marque/106386,Joseph,Garage in La Marque,$120,$15.60,$135.60,22'x12',None,Garage,Daily,Daytime hours,La Marque,"1 car garage, smoke free and pet free. We never use the garage.",
9,https://www.neighbor.com/listings/texas/la-marque/223249,None,Jay,"$101 / mo
$50.50",$14.09 / mo,$115.09 / mo,Jay,None,Jay,None,None,None,Features,
10,https://www.neighbor.com/listings/texas/hitchcock/165920,Marquis,Parking Lot in Hitchcock,$50,$9.38,$59.38,20'x10',None,Parking Lot,Daily,24/7,Hitchcock,Privately owned rental property. I have a cabin with an unused loft area. I also have at least 2 parking spots available. Live & work on property.,images/735485-17279.jpeg
11,https://www.neighbor.com/listings/texas/bolivar-peninsula/215107,None,Mark,"$175 / mo
$87.50",$18.71 / mo,$193.71 / mo,Mark,None,Mark,None,None,None,Features,"images/803964-78438.jpeg,images/803962-76802.jpeg,images/803966-55355.jpeg,images/803967-70053.jpeg,images/803968-00158.jpeg,images/803969-30118.jpeg"
12,https://www.neighbor.com/listings/texas/bolivar-peninsula/216631,None,Mark,"$216 / mo
$108",$19.77 / mo,$235.77 / mo,Mark,None,Mark,None,None,None,Features,"images/803964-78438.jpeg,images/803967-70053.jpeg,images/803969-30118.jpeg,images/803968-00158.jpeg,images/803966-55355.jpeg,images/803964-78438.jpeg,images/803962-76802.jpeg,images/803962-76802.jpeg,images/803967-70053.jpeg,images/803966-55355.jpeg,images/803968-00158.jpeg,images/803969-30118.jpeg"
13,https://www.neighbor.com/listings/texas/dickinson/98422,None,Oliver,$40,$8,$48,Oliver,None,Oliver,None,None,None,Features,"images/483197-81643.png,images/483196-36668.png,images/483195-37364.png,images/483194-68476.png,images/517679-85170.png"
14,https://www.neighbor.com/listings/texas/dickinson/98447,None,Oliver,$80,$12,$92,Oliver,None,Oliver,None,None,None,Features,"images/483197-81643.png,images/483194-68476.png,images/483195-37364.png,images/483196-36668.png,images/517678-42212.png"
15,https://www.neighbor.com/listings/texas/league-city/203679,Ryan,Parking Lot in League City,$75,$11.72,$86.72,10'x20',None,Parking Lot,Daily,24/7,League City,"We have 25 parking spots available behind our business! You will have access to it at any time, 24/7. We also have security cameras that will be facing the parking lot if there are any issues. Please let us know if you have any questions!","images/774862-74002.jpeg,images/774867-72941.jpeg,images/774868-85740.jpeg,images/774887-43857.jpeg"
16,https://www.neighbor.com/listings/texas/galveston/212272,None,Rosemarie,$79,$11.95,$90.95,Rosemarie,None,Rosemarie,None,None,None,Features,images/797020-50913.jpeg
17,https://www.neighbor.com/listings/texas/seabrook/221462,Michelle,Driveway in Seabrook,"$120 / mo
$60",$15.60 / mo,$135.60 / mo,20'x20',None,Driveway,Daily,24/7,Seabrook,"A nice concrete paved driveway. I do have 1 SUV. There is still space for a vehicles such as 2 compact cars, midsized car, 1 SUV or Van. Property has a security camera. Safe place to store your car.","images/820804-56104.jpeg,images/821414-33956.png,images/821415-54594.png,images/821416-05577.png"
18,https://www.neighbor.com/listings/texas/houston/222324,None,Uyen,"$290 / mo
$145",$23.57 / mo,$313.57 / mo,Uyen,None,Uyen,None,None,None,Features,"images/822809-07658.jpg,images/822810-16921.jpg,images/822811-15113.jpg,images/822812-81543.jpg"
19,https://www.neighbor.com/listings/texas/league-city/227975,Thomas,Unpaved Lot in League City,$191,$19.27,$210.27,14'x40',None,Unpaved Lot,Daily,Daytime hours,League City,"I have an unpaved lot that I want to rent out. It's a private space locked area. I have a security camera to make sure your property is safe and secure. Open area for a car, RV or boat.","images/843732-64644.png,images/843733-29042.jpeg,images/843734-73981.png,images/843735-07183.jpeg,images/843736-36802.png"
